name,     quadrant,ring,isNew,
Golang,  adopt,languages & frameworks,FALSE,
PostgreSQL,adopt,data management,FALSE,
Kubernetes,adopt,platforms & infrastructure,FALSE,
Helm,trial,platforms & infrastructure,TRUE,
Docker,adopt,platforms & infrastructure,FALSE,
Clickhouse,adopt,data management,FALSE,
PHP,hold,languages & frameworks,FALSE,
Lua,hold,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
JavaScript,hold,languages & frameworks,FALSE,
MySQL,            hold,data management,FALSE,
Symfony,          hold,languages & frameworks,FALSE,
Kafka,            adopt,data management,FALSE,
Prometheus,       adopt,platforms & infrastructure,FALSE,
Grafana,          adopt,platforms & infrastructure,FALSE,
OpenAPI(Swagger), adopt,languages & frameworks,FALSE,
Node.js,hold,languages & frameworks,FALSE,
Bootstrap,adopt,languages & frameworks,FALSE,
Selenium,assess,platforms & infrastructure,FALSE,
DevOps,adopt,techniques,FALSE,
